priority_profile,prioridad,a816,prioridad_garantizada,a811,num_prio,num_vul,tramo
6328,1,1,1,1,3,3,101
6327,1,1,1,1,3,2,0
6326,1,1,1,1,3,2,40
6325,1,1,1,1,3,2,50
6324,1,1,1,1,3,2,60
6323,1,1,1,1,3,2,70
6322,1,1,1,1,3,2,80
6321,1,1,1,1,3,2,90
6320,1,1,1,1,3,2,100
6319,1,1,1,1,3,2,101
6318,1,1,1,1,3,1,0
6317,1,1,1,1,3,1,40
6316,1,1,1,1,3,1,50
6315,1,1,1,1,3,1,60
6314,1,1,1,1,3,1,70
6313,1,1,1,1,3,1,80
6312,1,1,1,1,3,1,90
6311,1,1,1,1,3,1,100
6310,1,1,1,1,3,1,101
6309,1,1,1,1,3,0,0
6308,1,1,1,1,3,0,40
6307,1,1,1,1,3,0,50
6306,1,1,1,1,3,0,60
6305,1,1,1,1,3,0,70
6304,1,1,1,1,3,0,80
6303,1,1,1,1,3,0,90
6302,1,1,1,1,3,0,100
6301,1,1,1,1,3,0,101
6300,1,1,1,1,2,9,0
6299,1,1,1,1,2,9,40
6298,1,1,1,1,2,9,50
6297,1,1,1,1,2,9,60
6296,1,1,1,1,2,9,70
6295,1,1,1,1,2,9,80
6294,1,1,1,1,2,9,90
6293,1,1,1,1,2,9,100
6292,1,1,1,1,2,9,101
6291,1,1,1,1,2,8,0
6290,1,1,1,1,2,8,40
6289,1,1,1,1,2,8,50
6288,1,1,1,1,2,8,60
6287,1,1,1,1,2,8,70
6286,1,1,1,1,2,8,80
6285,1,1,1,1,2,8,90
6284,1,1,1,1,2,8,100
6283,1,1,1,1,2,8,101
6282,1,1,1,1,2,7,0
6281,1,1,1,1,2,7,40
6280,1,1,1,1,2,7,50
6279,1,1,1,1,2,7,60
6278,1,1,1,1,2,7,70
6277,1,1,1,1,2,7,80
6276,1,1,1,1,2,7,90
6275,1,1,1,1,2,7,100
6274,1,1,1,1,2,7,101
6273,1,1,1,1,2,6,0
6272,1,1,1,1,2,6,40
6271,1,1,1,1,2,6,50
6270,1,1,1,1,2,6,60
6269,1,1,1,1,2,6,70
6268,1,1,1,1,2,6,80
6267,1,1,1,1,2,6,90
6266,1,1,1,1,2,6,100
6265,1,1,1,1,2,6,101
6264,1,1,1,1,2,5,0
6263,1,1,1,1,2,5,40
6262,1,1,1,1,2,5,50
6261,1,1,1,1,2,5,60
6260,1,1,1,1,2,5,70
6259,1,1,1,1,2,5,80
6258,1,1,1,1,2,5,90
6257,1,1,1,1,2,5,100
6256,1,1,1,1,2,5,101
6255,1,1,1,1,2,4,0
6254,1,1,1,1,2,4,40
6253,1,1,1,1,2,4,50
6252,1,1,1,1,2,4,60
6251,1,1,1,1,2,4,70
6250,1,1,1,1,2,4,80
6249,1,1,1,1,2,4,90
6248,1,1,1,1,2,4,100
