iter,applicant_id,program_id,quota_id,ranking,score
1,27256665,3732,1,1,26036.20076
1,27256794,789,1,1,26027.59797
1,27258610,4871,1,1,26044.38337
1,27258637,4871,1,1,26044.16232
1,27259130,7727,1,1,26027.1783
1,27261518,1860,1,1,26045.61242
1,27261748,4872,1,1,26053.11418
1,27261924,3672,1,1,26063.2246
1,27263274,3861,1,1,26018.21745
1,27263740,5652,1,1,26054.35684
1,27263860,5677,1,1,26027.40256
1,27264009,5282,1,1,26027.45562
1,27264472,3861,1,1,26018.55323
1,27264828,63,1,1,26117.51642
1,27265803,1498,1,1,26054.60436
1,27266220,4036,1,1,26018.43222
1,27267612,2092,1,1,26027.17788
1,27268881,5652,1,1,26026.07535
1,27268974,3860,1,1,26018.18746
1,27269348,6216,1,1,26045.31229
1,27270145,5267,1,1,26025.00747
1,27270200,4095,1,1,26027.60452
1,27270501,2110,1,1,26035.47354
1,27271417,5419,1,1,26036.1515
1,27271528,3771,1,1,26027.39074
1,27275108,7175,1,1,26018.55895
1,27275161,5270,1,1,26045.61766
1,27275195,7094,1,1,26036.48542
1,27275593,6443,1,1,26043.47643
1,27275682,6581,1,1,26027.51004
1,27275948,3695,1,1,26018.37465
1,27275953,3561,1,1,26045.01627
1,27276324,7720,1,1,26027.53129
1,27278055,3897,1,1,26117.44459
1,27278212,7022,1,1,26027.24198
1,27278994,5652,1,1,26027.42682
1,27280081,3406,1,1,26036.28715
1,27281295,5271,1,1,26045.29393
1,27281314,4527,1,1,26036.15071
1,27281679,6347,1,1,27737.4879
1,27282531,5176,1,1,26036.56198
1,27282534,2012,1,1,26027.07964
1,27282563,1498,1,1,26036.63347
1,27283577,3566,1,1,26034.29107
1,27284527,5175,1,1,26035.30979
1,27286401,5240,1,1,29375.02697
1,27286602,5951,1,1,26018.04568
1,27286775,227,1,1,26036.47586
1,27287963,4548,1,1,26027.65254
1,27292708,6757,1,1,26027.48866
1,27292819,6720,1,1,26044.08131
1,27293818,1861,1,1,26026.53293
1,27293904,5673,1,1,26027.20769
1,27296244,4259,1,1,26045.06838
1,27296937,5677,1,1,26036.20291
1,27297005,2059,1,1,26044.49118
1,27298286,4036,1,1,26018.45717
1,27298975,971,1,1,26036.36974
1,27299693,4575,1,1,26018.63278
1,27300044,5804,1,1,26018.32807
1,27300059,5804,1,1,26018.14566
1,27300872,63,1,1,26036.54113
1,27301663,376,1,1,26143.38525
1,27302975,4872,1,1,26045.67665
1,27303036,6757,1,1,26027.29907
1,27303622,4772,1,1,26018.23538
1,27305790,883,1,1,26027.28565
1,27306577,1299,1,1,27642.03329
1,27307572,1294,1,1,26036.31015
1,27308302,3881,1,1,26054.51367
1,27310939,5951,1,1,26045.24277
1,27311338,1745,1,1,26045.19138
1,27311349,2998,1,1,26036.66755
1,27311423,1697,1,1,26054.01738
1,27313631,3859,1,1,26018.44868
1,27314339,6268,1,1,32.4464
1,27315606,1730,1,1,26026.65607
1,27316014,6261,1,1,26045.65504
1,27317081,3672,1,1,26027.45247
1,27317492,6500,1,1,26036.24844
1,27322912,6297,1,1,26056.46843
1,27323343,5267,1,1,26027.65739
1,27325730,6926,1,1,26117.27913
1,27325887,3617,1,1,26027.35405
1,27326028,618,1,1,26027.26503
1,27326419,5662,1,1,26045.22791
1,27328440,5300,1,1,26045.14024
1,27328477,6648,1,1,26054.59186
1,27328992,7527,1,1,26054.13079
1,27329040,3617,1,1,26027.63382
1,27329083,2779,1,1,27644.0677
1,27329116,2011,1,1,26027.30303
1,27330176,6725,1,1,23.46705
1,27330201,6500,1,1,31.47876
1,27330806,7727,1,1,13.20294
1,27331875,7175,1,1,26045.05668
1,27332409,2255,1,1,27736.01752
1,27332572,2183,1,1,26036.33838
1,27332641,2891,1,1,26063.09241
1,27334331,7440,1,1,26045.39553
1,27334348,7440,1,1,26054.1819
1,27335006,6476,1,1,31310.1742
1,27336198,6647,1,1,26126.07961
1,27336308,1551,1,1,26027.23632
1,27336319,7487,1,1,19457.38856
1,27338445,4772,1,1,26018.19327
1,27338957,3783,1,1,26027.38696
1,27340275,600,1,1,26027.03474
1,27340344,5804,1,1,29447.12226
1,27340536,3857,1,1,26036.59095
1,27340822,4533,1,1,26027.43594
1,27340997,2016,1,1,26043.49814
1,27341925,2023,1,1,29447.39575
1,27342712,7022,1,1,26036.07688
1,27342795,1228,1,1,26045.55588
1,27343464,5677,1,1,26036.11165
1,27343778,5656,1,1,23.15826
1,27343911,6656,1,1,26027.41245
1,27345109,5677,1,1,29264.15333
1,27345289,7360,1,1,26027.42848
1,27346539,7111,1,1,26135.49671
1,27347065,3783,1,1,26027.44445
1,27347759,5677,1,1,26045.35612
1,27349566,5607,1,1,26036.33156
1,27350211,6725,1,1,26045.02424
1,27350568,7244,1,1,26018.47829
1,27350722,4570,1,1,13.36541
1,27350727,1262,1,1,12.35721
1,27352186,296,1,1,26036.46068
1,27354279,4214,1,1,26153.03542
1,27355572,1231,1,1,26054.25945
1,27356431,3672,1,1,26027.03889
1,27357696,5843,1,1,26018.24963
1,27358113,3782,1,1,26027.32033
1,27358138,559,1,1,26036.07555
1,27358677,967,1,1,26018.44647
1,27358771,5257,1,1,26063.20061
1,27359402,7234,1,1,26027.10282
1,27359854,2076,1,1,26018.58661
1,27360537,5677,1,1,26036.05796
1,27361089,4448,1,1,26027.18636
1,27361131,3758,1,1,27744.17275
1,27365393,4772,1,1,26026.13438
1,27365707,6464,1,1,26027.59391
1,27365836,1297,1,1,26027.21584
1,27365957,820,1,1,26027.18378
1,27366189,1001,1,1,26018.24725
1,27366780,7205,1,1,12.50125
1,27366901,2440,1,1,27818.61485
1,27366916,1280,1,1,26018.04122
1,27367193,3844,1,1,26045.591
1,27368813,7022,1,1,26036.54015
1,27369206,4957,1,1,26036.27919
1,27369231,6261,1,1,26018.21855
1,27369671,3788,1,1,26063.29899
1,27370460,5804,1,1,29350.44284
1,27371125,6189,1,1,26018.30444
1,27371182,4772,1,1,10.22738
1,27372239,1229,1,1,26027.07073
1,27372251,6581,1,1,26027.21921
1,27373573,387,1,1,26027.18482
1,27373939,2183,1,1,22.48284
1,27374199,5686,1,1,41.6548
1,27375110,3679,1,1,26027.60371
1,27375493,6500,1,1,26027.48401
1,27376080,1796,1,1,26045.19402
1,27376327,2028,1,1,26036.33114
1,27376476,3811,1,1,19475.6763
1,27377954,769,1,1,26036.16054
1,27377982,5677,1,1,26045.43277
1,27378399,1740,1,1,26036.5897
1,27379557,7221,1,1,26027.34642
1,27379571,4576,1,1,26018.64102
1,27380133,5852,1,1,26036.50677
1,27382008,5285,1,1,26027.21041
1,27382457,3965,1,1,12.44411
